Mã ICD,Tên bệnh
Z95.8,sự có mặt của dụng cụ cấy và mảnh ghép tim và mạch máu khác
Z95.9,sự có mặt của dụng cụ cấy và mảnh ghép tim và mạch máu không đặc hiệu
Z96,tồn tại của dụng cụ cấy ghép chức năng khác
Z96.0,sự có mặt các dụng cụ cấy ghép tiết niệu sinh dục
Z96.1,sự có mặt của thấu kính nội nhãn
Z96.2,sự có mặt của dụng cụ cấy ghép tai và thính giác
Z96.3,sự có mặt của họng nhân tạo
Z96.4,sự có mặt của dụng cụ cấy ghép nội tiết
Z96.5,sự có mặt của dụng cụ cấy chân răng và hàm má
Z96.6,sự có mặt của dụng cụ chỉnh hình khớp
F11.5,rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện rối loạn ta m thần
F11.6,rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện họ i chứng que n
F11.7,rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện rối loạn loạn thần di chứng và khởi phát muọ n
F11.8,rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện rối loạn ta m thần và hành vi khác
F11.9,rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện rối loạn ta m thần và hành vi kho ng biẹ t định
F12,rối loạn tâm thần và hành vi do sử dụng cần sa
F12.0,rối loạn tâm thần và hành vi do sử dụng cần sa nhiễm đọ c cấp
F12.1,rối loạn tâm thần và hành vi do sử dụng cần sa sử dụng ga y hại
F12.2,rối loạn tâm thần và hành vi do sử dụng cần sa họ i chứng nghiẹ n
F12.3,rối loạn tâm thần và hành vi do sử dụng cần sa trạng thái cai
F12.4,rối loạn tâm thần và hành vi do sử dụng cần sa trạng thái cai với me sảng
F12.5,rối loạn tâm thần và hành vi do sử dụng cần sa rối loạn ta m thần
F12.6,rối loạn tâm thần và hành vi do sử dụng cần sa họ i chứng que n
F12.7,rối loạn tâm thần và hành vi do sử dụng cần sa rối loạn loạn thần di chứng và khởi phát muọ n
F12.8,rối loạn tâm thần và hành vi do sử dụng cần sa rối loạn ta m thần và hành vi khác
F12.9,rối loạn tâm thần và hành vi do sử dụng cần sa rối loạn ta m thần và hành vi kho ng biẹ t định
F13,rối loạn tâm thần và hành vi do sử dụng các chất an dịu hoặc các thuốc ngủ
F13.0,rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ nhiễm đọ c cấp
F13.1,rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ sử dụng ga y hại
F13.2,rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ họ i chứng nghiẹ n
T08,gãy cột sống mức độ chưa xác định
T08.0,gãy cột sống mức độ chưa xác định gãy kín
T08.1,gãy cột sống mức độ chưa xác định gãy hở
T09,tổn thương khác của cột sống và thân tầm chưa xác định
T09.0,tổn thương nông tại thân tầm chưa xác định
T09.1,vết thương hở tại thân tầm chưa xác định
T09.2,sai khớp bong gân và căng cơ của khớp chưa xác định và dây chằng của thân
T09.3,tổn thương cột sống tầm chưa xác định
T09.4,tổn thương dây thần kinh chưa xác định rễ dây thần kinh cột sống và tùng của thân
T09.5,tổn thương chưa xác định cơ và gân của thân
T09.6,chấn thương cắt cụt của thân tầm chưa xác định
T09.8,tổn thương khác xác định tại thân tầm chưa xác định
T09.9,tổn thương chưa xác định của thân tầm chưa xác định
T10,gãy xương của chi trên tầm chưa xác định
T10.0,gãy xương của chi trên tầm chưa xác định gãy kín
T10.1,gãy xương của chi trên tầm chưa xác định gãy hở
T11,tổn thương khác tại chi trên tầm chưa xác định
T11.0,tổn thương nông chi trên tầm chưa xác định
T11.1,vết thương hở chi trên tầm chưa xác định
T11.2,sai khớp bong gân và căng cơ khớp chưa xác định và dây chằng chi trên tầm chưa xác định
T11.3,tổn thương dây thần kinh chưa xác định tại chi trên tầm chưa xác định
T11.4,tổn thương mạch máu chưa xác định tại chi trên tầm chưa xác định
T11.5,tổn thương cơ chưa xác định và gân tại chi trên tầm chưa xác định
T11.6,chấn thương cắt cụt tại chi trên tầm không xác định
T11.8,tổn thương khác đã xác định tại chi trên tầm chưa xác định
T11.9,tổn thương chưa xác định tại chi trên tầm chưa xác định
T12,gãy xương chi dưới tầm chưa xác định
T13,tổn thương khác chi dưới tầm chưa xác định
T13.0,tổn thương nông chi dưới tầm chưa xác định
T13.1,vết thương hở chi dưới tầm chưa xác định
T13.2,sai khớp bong gân và căng cơ khớp chưa xác định và dây chằng chi dưới tầm chưa xác định
T13.3,tổn thương dây thần kinh chưa xác định tại chi dưới tầm chưa xác định
W41,bị ảnh hưởng tia áp lực cao
W42,ảnh hưởng tiếng ồn
W43,ảnh hưởng độ rung
F13.3,rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ trạng thái cai
F13.4,rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ trạng thái cai với me sảng
H26.4,đục bao sau mổ đục thể thủy tinh ngoài bao
H26.8,đục thể thủy tinh xác định khác
H26.9,đục thể thủy tinh không đặc hiệu khác
H27,các bệnh khác của thủy tinh thể
H27.0,không có thể thủy tinh
H27.1,lệch thể thủy tinh
H27.8,bệnh thể thủy tinh xác định khác
Z58.3,phơi nhiễm với đất ô nhiễm
Z58.4,phơi nhiễm với tia xạ
Z58.5,phơi nhiễm với các ô nhiễm khác
Z51.5,chăm sóc giảm nhẹ
Z51.6,giải mẫn cảm các dị nguyên
Z51.8,chăm sóc y học đặc hiệu khác
Z51.9,chăm sóc y học không đặc hiệu
Z52,hiến tạng và mô
Z52.0,hiến máu
Z52.1,hiến da
Z52.2,hiến xương
Z52.3,hiến tủy xương
Z52.4,hiến thận
Z52.5,hiến giác mạc
Z52.6,hiến gan
Z52.7,hiến tim
Z52.8,hiến các tạng và mô khác
Z52.9,hiến các tạng và mô không đặc hiệu
Z53,người bệnh đến các cơ sở y tế do chưa được thực hiện những thủ thuật đặc hiệu
Z53.0,chưa được thực hiện chống chỉ định
Z53.1,chưa thực hiện do người bệnh chưa quyết định vì chưa tin tưởng hay vì áp lực của nhóm
Z53.2,chưa thực hiện do người bệnh chưa quyết định vì những lý do khác không xác định
Z53.8,chưa thực hiện vì những lý do khác
Z53.9,chưa thực hiện vì lý do không xác định
Z54,thời kỳ dưỡng sức
Z54.0,dưỡng sức sau phẫu thuật
Z54.1,dưỡng sức sau xạ trị liệu
Z54.2,dưỡng sức sau hóa trị liệu
Z54.3,dưỡng sức sau liệu pháp tâm thần
Z54.4,dưỡng sức sau điều trị gãy xương
Z54.7,dưỡng sức sau điều trị phối hợp
T27.7,ăn mòn đường hô hấp phần chưa xác định
T28,bỏng và ăn mòn nội tạng khác
T28.0,bỏng tại miệng và hầu họng
T28.1,bỏng tại thực quản
T28.2,bỏng tại phần khác của đường tiêu hóa
T28.3,bỏng tại phần trong của đường tiết niệu sinh dục
T28.4,bỏng nơi khác và các nội tạng chưa xác định
T28.5,ăn mòn tại miệng và thanh quản
T28.6,ăn mòn tại thực quản
T28.7,ăn mòn tại phần khác của đường tiêu hóa
T28.8,ăn mòn tại phần trong của đường sinh dục tiết niệu
T28.9,ăn mòn tại nơi khác và các nội tạng chưa xác định
T49.1,ngộ độc thuốc chống ngứa
T49.2,ngộ độc thuốc làm săn da tại chỗ và thuốc sát trùng tại chỗ
T49.3,ngộ độc thuốc làm mềm da làm dịu da và bảo vệ da
T49.4,ngộ độc thuốc làm tróc lớp sừng tạo hình lớp sừng và thuốc và các chế phẩm điều trị tóc khác
T49.5,ngộ độc thuốc và chế phẩm điều trị mắt
T49.6,ngộ độc thuốc và chế phẩm điều trị tai mũi họng
T49.7,ngộ độc thuốc nha khoa bôi tại chỗ
T49.8,ngộ độc thuốc dùng tại chỗ khác
T49.9,ngộ độc thuốc dùng tại chỗ chưa xác định
X93,tấn công bằng đạn súng tay
X94,tấn công bằng súng trường súng ngắn và súng lớn hơn
X95,tấn công bằng súng khác và không rõ đặc điểm
X96,tấn công bằng chất nổ
X97,tấn công bằng khói cháy và lửa
X98,tấn công bằng hơi nước hơi nước nóng và vật nóng
X99,tấn công bằng vật nhọn sắc
Y00,tấn công bằng vật tù
Y01,tấn công bằng đẩy từ chỗ cao
Y02,tấn công bằng đẩy hay đặt nạn nhân trước vật đang chuyển động
Y03,tấn công bằng đâm xe động cơ
Y04,tấn công bằng sức cơ thể
Y05,tấn công tình dục bằng sức người
Y06,cẩu thả hay bỏ rơi
Y06.0,do vợ chồng hay người cộng tác
Y06.1,do cha mẹ
Y06.2,do người quen hay bạn
Y06.8,do người khác biết rõ đặc điểm
Y06.9,do người khác không biết rõ đặc điểm
Y07,các hội chứng hành hạ khác
Y07.0,do vợ chồng hay người cộng tác
Y07.1,do cha mẹ
Y07.2,do người quen hay bạn
Y07.3,do công chức có thẩm quyền
Y07.8,do người khác biết đặc điểm
Y07.9,do người không rõ đặc điểm
Y08,tấn công bằng phương tiện khác biết đặc điểm
Y09,tấn công bằng phương tiện khác không rõ đặc điểm
Y10,ngộ độc và phơi nhiễm thuốc giảm đau hạ sốt chống thấp không có thuốc phiện không rõ ý đồ
